sentence,tokens,cluster
"Neuro: AOx3, no gross deficits, walking independently with cane Pertinent Results: ADMISSION LABS:","['neuro', 'gross', 'deficit', 'walk', 'independently', 'cane', 'pertinent', 'result', 'admission', 'labs']",3
He also ran out of tamsulosin several days ago so stopped taking this around the same time.,"['run', 'tamsulosin', 'day', 'ago', 'stop', 'take', 'time']",1
The patient also reported she recently ran out of most of her home medications.,"['patient', 'report', 'recently', 'run', 'home', 'medication']",0
He states the pain is relieved by running it under warm water.,"['state', 'pain', 'relieve', 'run', 'warm', 'water']",1
"second runs at 0.25-0.5 Hz but do not evolve ___ frequency, morphology, or location to meet criteria for seizure.","['second', 'run', 'evolve', 'frequency', 'morphology', 'location', 'meet', 'criterion', 'seizure']",1
"He was maintained on telemetry, which was only notable for several non-sustained, asymptomatic episodes of tachycardia upon standing and walking.","['maintain', 'telemetry', 'notable', 'non', 'sustained', 'asymptomatic', 'episode', 'tachycardia', 'stand', 'walk']",3
Patient's blood pressure on discharge was running high in 150s-160s.,"['patient', 'blood', 'pressure', 'discharge', 'run', 'high']",2
"At baseline, Ms. ___ ambulates with a walker.","['baseline', 'ambulate', 'walker']",0
Walking Stance: 1 Gait Score: ___,"['walk', 'stance', 'gait', 'score']",1
and case management who felt that she was unable to ambulate and would need further evaluation prior to placement in a rehab facility.,"['case', 'management', 'feel', 'unable', 'ambulate', 'need', 'evaluation', 'prior', 'placement', 'rehab', 'facility']",0
"Exercise should be limited to walking; no lifting, straining, or excessive bending.","['limit', 'walk', 'lifting', 'strain', 'excessive', 'bending']",1
Physical therapy and Occupational therapy were consulted for mobilization OOB to ambulate and ADL's.,"['physical', 'therapy', 'occupational', 'therapy', 'consult', 'mobilization', 'oob', 'ambulate', 'adl']",3
Her incision is healing well and after many Physical Therapy visits she is able to crutch walk safely.,"['incision', 'heal', 'physical', 'therapy', 'visit', 'able', 'crutch', 'walk', 'safely']",3
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"Discharge Diagnosis: Aortic stenosis, aortic insufficiency s/p Aortic valve replacement (Mech -23mm St. ___ valvular-induced cardiomyopathy pulmonary hypertension recent Pneumonia chronic systolic/diastolic heart failure Discharge Condition: alert and oriented ambulating with steady gait Sternal pain managed with dilaudid Discharge Instructions:","['discharge', 'diagnosis', 'aortic', 'stenosis', 'aortic', 'insufficiency', 'aortic', 'valve', 'replacement', 'mech', 'valvular', 'induce', 'cardiomyopathy', 'pulmonary', 'hypertension', 'recent', 'pneumonia', 'chronic', 'systolic', 'diastolic', 'heart', 'failure', 'discharge', 'condition', 'alert', 'orient', 'ambulate', 'steady', 'gait', 'sternal', 'pain', 'manage', 'dilaudid', 'discharge', 'instruction']",3
"""At that time ___ was reportedly """"lethargic"""" meaning sleeping frequently but able to sit up and walk without issue.""","['time', 'reportedly', 'lethargic', 'mean', 'sleep', 'frequently', 'able', 'sit', 'walk', 'issue']",0
"He has had these symptoms before, and usually needs to rest before ambulating.","['symptom', 'usually', 'need', 'rest', 'ambulate']",3
"Gait is wide-based, slight drift to right while walking, but walked ___","['gait', 'wide', 'base', 'slight', 'drift', 'right', 'walk', 'walk']",0
brief runs at ___,"['brief', 'run']",1
"The patient was tolerating diet as above per oral, ambulating, and pain was well controlled.","['patient', 'tolerate', 'diet', 'oral', 'ambulate', 'pain', 'control']",3
Prophylaxis: The patient received subcutaneous heparin and venodyne boots were used during this stay; was encouraged to get up and ambulate as early as possible.,"['prophylaxis', 'patient', 'receive', 'subcutaneous', 'heparin', 'venodyne', 'boot', 'stay', 'encourage', 'ambulate', 'early', 'possible']",3
"The patient was tolerating TF at goal and clears, ambulating, voiding without assistance, and pain was well controlled.","['patient', 'tolerate', 'goal', 'clear', 'ambulate', 'void', 'assistance', 'pain', 'control']",3
"the latter half of the recording, the frequency of the brief runs decrease to 0.5-0.75 Hz and predominantly have only a blunted morphology.","['half', 'recording', 'frequency', 'brief', 'run', 'decrease', 'predominantly', 'blunted', 'morphology']",1
"Exercise should be limited to walking; no lifting 10lbs, straining, or excessive bending.","['limit', 'walk', 'lifting', 'strain', 'excessive', 'bending']",1
Walk several times a day.,"['walk', 'time', 'day']",0
"No driving until post-op visit and you are no longer taking pain medications No excessive head turning, lifting, pushing or pulling (greater than 5 lbs) until your post op visit You may shower (no direct spray on incision, let the soapy water run over incision, rinse and pat dry) Your incision may be left uncovered, unless you have small amounts of drainage from the wound, then place a dry dressing over the area CALL THE OFFICE FOR: ___ Changes in vision (loss of vision, blurring, double vision, half vision) Slurring of speech or difficulty finding correct words to use Severe headache or worsening headache not controlled by pain medication A sudden change in the ability to move or use your arm or leg or the ability to feel your arm or leg Trouble swallowing, breathing, or talking Temperature greater than 101.5F for 24 hours Bleeding, new or increased drainage from incision or white, yellow or green drainage from incisions Followup Instructions: ___","['drive', 'post', 'visit', 'long', 'take', 'pain', 'medication', 'excessive', 'head', 'turning', 'lifting', 'push', 'pull', 'great', 'lbs', 'post', 'visit', 'shower', 'direct', 'spray', 'incision', 'let', 'soapy', 'water', 'run', 'incision', 'rinse', 'pat', 'dry', 'incision', 'leave', 'uncover', 'small', 'amount', 'drainage', 'wound', 'place', 'dry', 'dressing', 'area', 'office', 'vision', 'loss', 'vision', 'blurring', 'double', 'vision', 'half', 'vision', 'speech', 'difficulty', 'find', 'correct', 'word', 'use', 'headache', 'worsen', 'headache', 'control', 'pain', 'medication', 'sudden', 'change', 'ability', 'use', 'arm', 'leg', 'ability', 'feel', 'arm', 'leg', 'swallowing', 'breathing', 'talk', 'great', 'hour', 'new', 'increase', 'drainage', 'incision', 'white', 'yellow', 'green', 'drainage', 'incision', 'followup', 'instructions']",3
N/V. He has also been having difficulty ambulating ___,"['have', 'difficulty', 'ambulate']",0
He also says that he is in the hospital because of worsening back pain over the past week around his thoracic region that is exacerbated by walking and is in the region around the spine.,"['say', 'hospital', 'worsen', 'pain', 'past', 'week', 'thoracic', 'region', 'exacerbate', 'walk', 'region', 'spine']",3
weeks You should get up out of bed every day and gradually increase your activity each day You may walk and you may go up and down stairs Increase your activities as you can tolerate- do not do too much right away!,"['week', 'bed', 'day', 'gradually', 'increase', 'activity', 'day', 'walk', 'stair', 'activity', 'right', 'away']",3
You may shower and allow soapy water to run over incision; no scrubbing of incision.,"['shower', 'allow', 'soapy', 'water', 'run', 'incision', 'scrubbing', 'incision']",2
You will be more comfortable if you do not sit or stand more than ~45 minutes without getting up and walking around.,"['comfortable', 'sit', 'stand', 'minute', 'get', 'walk']",1
-Rehabilitation/ Physical Therapy: o2-3 times a day you should go for a walk for ___,"['physical', 'therapy', 'time', 'day', 'walk']",0
You can walk as much as you can tolerate.,"['walk', 'tolerate']",4
"You tolerated the procedure well and are ambulating, stooling, tolerating a regular diet, and your pain is controlled by pain medications by mouth.","['tolerate', 'procedure', 'ambulate', 'stool', 'tolerate', 'regular', 'diet', 'pain', 'control', 'pain', 'medication', 'mouth']",3
This brace is to be worn for comfort when you are walking.,"['brace', 'wear', 'comfort', 'walk']",1
You should continue to walk several times a day.,"['continue', 'walk', 'time', 'day']",0
He is able to walk in his building but after walking a few yards outdoords is he becomes hunched over.,"['able', 'walk', 'building', 'walk', 'yard', 'outdoord', 'hunch']",0
"By post-operative day 2, she was tolerating a regular diet, voiding spontaneously, ambulating independently, and pain was controlled with oral medications.","['post', 'operative', 'day', 'tolerate', 'regular', 'diet', 'void', 'spontaneously', 'ambulate', 'independently', 'pain', 'control', 'oral', 'medication']",3
Stayed overnight due to difficulty ambulating secondary to nerve block.,"['stay', 'overnight', 'difficulty', 'ambulate', 'secondary', 'nerve', 'block']",0
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"If you have been given a brace,this brace is to be worn when you are walking.","['give', 'brace', 'brace', 'wear', 'walk']",1
"Of note, the patient was having symptoms of shortness of breath later today before the procedure when walking up there stairs.","['note', 'patient', 'have', 'symptom', 'shortness', 'breath', 'later', 'today', 'procedure', 'walk', 'stair']",0
"Her resting O2 sat was initially 85%, but at the time of discharge she was satting 96% on RA, but would desaturate to 84% after walking 75-100feet.","['rest', 'sit', 'initially', 'time', 'discharge', 'satte', 'desaturate', 'walk']",1
weeks You should get up out of bed every day and gradually increase your activity each day You may walk and you may go up and down stairs Increase your activities as you can tolerate- do not do too much right away!,"['week', 'bed', 'day', 'gradually', 'increase', 'activity', 'day', 'walk', 'stair', 'activity', 'right', 'away']",3
You will be more comfortable if you do not sit or stand more than~45 minutes without getting up and walking around.,"['comfortable', 'sit', 'stand', 'minute', 'get', 'walk']",1
"By post-operative day 1, she was tolerating a regular diet, ambulating independently, and pain was controlled with oral medications.","['post', 'operative', 'day', 'tolerate', 'regular', 'diet', 'ambulate', 'independently', 'pain', 'control', 'oral', 'medication']",3
times a day you should go for a walk for ___,"['time', 'day', 'walk']",0
You can walk as much as you can tolerate.,"['walk', 'tolerate']",4
"No driving until post-op visit and you are no longer taking pain medications No excessive head turning, lifting, pushing or pulling (greater than 5 lbs) until your post op visit You may shower (no direct spray on incision, let the soapy water run over incision, rinse and pat dry) Your incision may be left uncovered, unless you have small amounts of drainage from the wound, then place a dry dressing over the area CALL THE OFFICE FOR: ___ Changes in vision (loss of vision, blurring, double vision, half vision) Slurring of speech or difficulty finding correct words to use Severe headache or worsening headache not controlled by pain medication A sudden change in the ability to move or use your arm or leg or the ability to feel your arm or leg Trouble swallowing, breathing, or talking Temperature greater than 101.5F for 24 hours Bleeding, new or increased drainage from incision or white, yellow or green drainage from incisions Followup Instructions: ___","['drive', 'post', 'visit', 'long', 'take', 'pain', 'medication', 'excessive', 'head', 'turning', 'lifting', 'push', 'pull', 'great', 'lbs', 'post', 'visit', 'shower', 'direct', 'spray', 'incision', 'let', 'soapy', 'water', 'run', 'incision', 'rinse', 'pat', 'dry', 'incision', 'leave', 'uncover', 'small', 'amount', 'drainage', 'wound', 'place', 'dry', 'dressing', 'area', 'office', 'vision', 'loss', 'vision', 'blurring', 'double', 'vision', 'half', 'vision', 'speech', 'difficulty', 'find', 'correct', 'word', 'use', 'headache', 'worsen', 'headache', 'control', 'pain', 'medication', 'sudden', 'change', 'ability', 'use', 'arm', 'leg', 'ability', 'feel', 'arm', 'leg', 'swallowing', 'breathing', 'talk', 'great', 'hour', 'new', 'increase', 'drainage', 'incision', 'white', 'yellow', 'green', 'drainage', 'incision', 'followup', 'instructions']",3
You make take leisurely walks and slowly increase your activity at your own pace once you are symptom free at rest.,"['leisurely', 'walk', 'slowly', 'increase', 'activity', 'pace', 'symptom', 'free', 'rest']",3
"Activity  We recommend that you avoid heavy lifting, running, climbing, or other strenuous exercise until your follow-up appointment.","['activity', 'recommend', 'avoid', 'heavy', 'lifting', 'run', 'climbing', 'strenuous', 'exercise', 'follow', 'appointment']",3
The patient was breathing more comfortably and ambulating well at the time of discharge.,"['patient', 'breathe', 'comfortably', 'ambulate', 'time', 'discharge']",0
"She denies leg weakness at this time, and is able to walk without assistance.","['deny', 'leg', 'weakness', 'time', 'able', 'walk', 'assistance']",0
"He fell on his right side earlier this morning, with immediate right hip pain and inability to ambulate.","['fall', 'right', 'early', 'morning', 'immediate', 'right', 'hip', 'pain', 'inability', 'ambulate']",0
"He ambulates without assistance at baseline, but reports he does not walk as much as he used to due to antecedent bilateral hip pain.","['ambulate', 'assistance', 'baseline', 'report', 'walk', 'antecedent', 'bilateral', 'hip', 'pain']",0
"You may shower, let the warm water run over the incision line and pat the area dry with a towel, do not rub.","['shower', 'let', 'warm', 'water', 'run', 'incision', 'line', 'pat', 'area', 'dry', 'towel', 'rub']",2
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
Prophylaxis: The patient was encouraged to get up and ambulate as much as possible during her inpatient stay. .,"['prophylaxis', 'patient', 'encourage', 'ambulate', 'possible', 'inpatient', 'stay']",3
"At the time of discharge on hospital day 4, the patient was doing well, afebrile with stable vital signs, tolerating a regular diet, ambulating, voiding without assistance, and pain was well controlled.","['time', 'discharge', 'hospital', 'day', 'patient', 'afebrile', 'stable', 'vital', 'sign', 'tolerate', 'regular', 'diet', 'ambulate', 'void', 'assistance', 'pain', 'control']",3
"He was encouraged to mobilize out of bed and ambulate as tolerated, which he was able to do independently.","['encourage', 'mobilize', 'bed', 'ambulate', 'tolerate', 'able', 'independently']",3
"During his recent hospitalization for GI bleed (below) he went without heparin SQ or DVT prophylaxis, but he was ambulating multiple times daily.","['recent', 'hospitalization', 'bleed', 'heparin', 'dvt', 'prophylaxis', 'ambulate', 'multiple', 'time', 'daily']",3
"Sudden numbness or weakness in the face, arm, or leg · Sudden confusion or trouble speaking or understanding · Sudden trouble walking, dizziness, or loss of balance or coordination ·","['sudden', 'numbness', 'weakness', 'face', 'arm', 'leg', 'sudden', 'confusion', 'trouble', 'speak', 'understanding', 'sudden', 'trouble', 'walk', 'dizziness', 'loss', 'balance', 'coordination']",0
"This pain started about a month ago and progressively got worse, making it difficult to walk.","['pain', 'start', 'month', 'ago', 'progressively', 'get', 'bad', 'make', 'difficult', 'walk']",0
She was able to ambulate without difficulty and she will be discharged home on ___,"['able', 'ambulate', 'difficulty', 'discharge', 'home']",0
The pain is most severe over the lumbar incision site and is severe to the point of limiting basic daily function - has been using commode d/t difficulty ambulating ___,"['pain', 'severe', 'lumbar', 'incision', 'site', 'severe', 'point', 'limit', 'basic', 'daily', 'function', 'commode', 'difficulty', 'ambulate']",3
He tried to walk frequently during that hospitalization.,"['try', 'walk', 'frequently', 'hospitalization']",0
Patient unable to ambulate due to pain in R knee and came to ED.,"['patient', 'unable', 'ambulate', 'pain', 'knee', 'come']",0
"Please get plenty of rest, continue to ambulate several times per day, and drink adequate amounts of fluids.","['plenty', 'rest', 'continue', 'ambulate', 'time', 'day', 'drink', 'adequate', 'amount', 'fluid']",0
"HTN -Was not hypertensive during the admission, SBP's running in the 100- 120's Her atenolol was discontinued given her baseline bradycardia and her amlodipine was disconinued given her low blood pressures.","['htn', 'hypertensive', 'admission', 'sbp', 'run', 'atenolol', 'discontinue', 'give', 'baseline', 'bradycardia', 'amlodipine', 'disconinue', 'give', 'low', 'blood', 'pressure']",3
to be run STAT for procedure.,"['run', 'stat', 'procedure']",1
"By the time of discharge on post-operative day four the ___ was ambulating freely, the wound was healing and pain was controlled with oral analgesics.","['time', 'discharge', 'post', 'operative', 'day', 'ambulate', 'freely', 'wound', 'heal', 'pain', 'control', 'oral', 'analgesic']",3
She was intially started on decadron to help with pain control and this offered no relief and she was unable to ambulate.,"['intially', 'start', 'decadron', 'help', 'pain', 'control', 'offer', 'relief', 'unable', 'ambulate']",3
He had an episode of syncope at home when walking down the stairs (SOB prior per mother).,"['episode', 'syncope', 'home', 'walk', 'stair', 'sob', 'prior', 'mother']",0
"Per the patient's wife, his gait has acutely worsened over the past 24 hours to the point where he has been unable to ambulate on his own.","['patient', 'wife', 'gait', 'acutely', 'worsen', 'past', 'hour', 'point', 'unable', 'ambulate']",0
"Over the last 6 months she has noticed she becomes increasingly out of breath, walking or climbing stairs.","['month', 'notice', 'increasingly', 'breath', 'walk', 'climb', 'stair']",0
You may shower and allow soapy water to run over incision; no scrubbing of incision.,"['shower', 'allow', 'soapy', 'water', 'run', 'incision', 'scrubbing', 'incision']",2
" Fever greater than 101.5 degrees Fahrenheit  Nausea and/or vomiting  Extreme sleepiness and not being able to stay awake  Severe headaches not relieved by pain relievers  Seizures  Any new problems with your vision or ability to speak  Weakness or changes in sensation in your face, arms, or leg Call ___ and go to the nearest Emergency Room if you experience any of the following:  Sudden numbness or weakness in the face, arm, or leg  Sudden confusion or trouble speaking or understanding  Sudden trouble walking, dizziness, or loss of balance or coordination  Sudden severe headaches with no known reason Followup Instructions: ___","['fever', 'great', 'degree', 'fahrenheit', 'nausea', 'vomit', 'extreme', 'sleepiness', 'able', 'stay', 'awake', 'severe', 'headache', 'relieve', 'pain', 'reliever', 'seizure', 'new', 'problem', 'vision', 'ability', 'speak', 'weakness', 'change', 'sensation', 'face', 'arm', 'leg', 'near', 'emergency', 'room', 'experience', 'following', 'sudden', 'numbness', 'weakness', 'face', 'arm', 'leg', 'sudden', 'confusion', 'trouble', 'speak', 'understand', 'sudden', 'trouble', 'walk', 'dizziness', 'loss', 'balance', 'coordination', 'sudden', 'severe', 'headache', 'known', 'reason', 'followup', 'instructions']",3
Walker SW=Standard Walker SC=Straight Cane AC=Axillary Crutches Gait: Ambulated 250ft w/ ___,"['walker', 'standard', 'walker', 'straight', 'cane', 'axillary', 'crutches', 'gait', 'ambulated']",0
You will be more comfortable if you do not sit or stand more than ~45 minutes without getting up and walking around.,"['comfortable', 'sit', 'stand', 'minute', 'get', 'walk']",1
-Rehabilitation/ Physical Therapy: o2-3 times a day you should go for a walk for ___,"['physical', 'therapy', 'time', 'day', 'walk']",0
You can walk as much as you can tolerate.,"['walk', 'tolerate']",4
99%RA Activity Sit p amb 104 132/96 20 98%RA Recovery Sit 92 132/102 16 98%RA Total Distance Walked: 250ft w/ 1 rest break Functional Status Rolling: I Use of rail: No Sup/Sidelying to Sit: I Head of Bed Elevated: No Sit to Stand: S to ___,"['activity', 'sit', 'amb', 'recovery', 'sit', 'total', 'distance', 'walk', 'rest', 'break', 'functional', 'status', 'rolling', 'use', 'rail', 'sup', 'sidelying', 'sit', 'head', 'bed', 'elevated', 'sit', 'stand']",3
"She continued to ambulate without difficulty, and refused SC Heparing injections.","['continue', 'ambulate', 'difficulty', 'refuse', 'heparing', 'injection']",3
but had an episode of DOE while ambulating to the bathroom.,"['episode', 'doe', 'ambulate', 'bathroom']",0
You may walk up and down stairs.,"['walk', 'stair']",0
You may shower and allow soapy water to run over incision; no scrubbing of incision.,"['shower', 'allow', 'soapy', 'water', 'run', 'incision', 'scrubbing', 'incision']",2
Ambulated well with a ___.,['ambulated'],0
Had repair of meniscus of left knee several months ago secondary to injury while running.,"['repair', 'meniscus', 'left', 'knee', 'month', 'ago', 'secondary', 'injury', 'run']",3
"Activity: - We recommend that you avoid heavy lifting, running, climbing, or other strenuous exercise until your follow-up appointment.","['activity', 'recommend', 'avoid', 'heavy', 'lifting', 'run', 'climbing', 'strenuous', 'exercise', 'follow', 'appointment']",3
She awoke yesterday morning with difficulty walking and felt her speech my be slower than normal.,"['awake', 'yesterday', 'morning', 'difficulty', 'walk', 'feel', 'speech', 'slow', 'normal']",0
"year old woman with hypertension, untreated hyperlipidemia prior paramedian pontine infarct now presenting with difficulty walking and slowed speech.","['year', 'old', 'woman', 'hypertension', 'untreated', 'hyperlipidemia', 'prior', 'paramedian', 'pontine', 'infarct', 'present', 'difficulty', 'walk', 'slow', 'speech']",3
Walk frequently.,"['walk', 'frequently']",4
Walking is a form of exercise.,"['walk', 'form', 'exercise']",1
___ recommended he go to a short term rehab until he was better able to compete transfers and ambulate with a walker.,"['recommend', 'short', 'term', 'rehab', 'well', 'able', 'compete', 'transfer', 'ambulate', 'walker']",0
Walk several times a day.,"['walk', 'time', 'day']",0
